Scenario ID,Agent ID,Query Number,Relevance (1-5),Coherence (1-5),Completeness (1-5),Accuracy (1-5),Average Score,Comments
baseline,agent_1,0,,,,,=AVERAGE(D124:G124),
baseline,agent_1,1,,,,,=AVERAGE(D169:G169),
baseline,agent_1,2,,,,,=AVERAGE(D214:G214),
baseline,agent_2,0,,,,,=AVERAGE(D259:G259),
baseline,agent_2,1,,,,,=AVERAGE(D304:G304),
baseline,agent_2,2,,,,,=AVERAGE(D349:G349),
baseline,agent_3,0,,,,,=AVERAGE(D394:G394),
baseline,agent_3,1,,,,,=AVERAGE(D439:G439),
baseline,agent_3,2,,,,,=AVERAGE(D484:G484),
baseline,agent_4,0,,,,,=AVERAGE(D529:G529),
baseline,agent_4,1,,,,,=AVERAGE(D574:G574),
baseline,agent_4,2,,,,,=AVERAGE(D619:G619),
mus_very_low,agent_1,0,,,,,=AVERAGE(D664:G664),
mus_very_low,agent_1,1,,,,,=AVERAGE(D713:G713),
mus_very_low,agent_1,2,,,,,=AVERAGE(D762:G762),
mus_very_low,agent_2,0,,,,,=AVERAGE(D811:G811),
mus_very_low,agent_2,1,,,,,=AVERAGE(D860:G860),
mus_very_low,agent_2,2,,,,,=AVERAGE(D909:G909),
mus_very_low,agent_3,0,,,,,=AVERAGE(D958:G958),
mus_very_low,agent_3,1,,,,,=AVERAGE(D1007:G1007),
mus_very_low,agent_3,2,,,,,=AVERAGE(D1058:G1058),
mus_very_low,agent_4,0,,,,,=AVERAGE(D1109:G1109),
mus_very_low,agent_4,1,,,,,=AVERAGE(D1160:G1160),
mus_very_low,agent_4,2,,,,,=AVERAGE(D1211:G1211),
mus_low,agent_1,0,,,,,=AVERAGE(D1262:G1262),
mus_low,agent_1,1,,,,,=AVERAGE(D1308:G1308),
mus_low,agent_1,2,,,,,=AVERAGE(D1354:G1354),
mus_low,agent_2,0,,,,,=AVERAGE(D1400:G1400),
mus_low,agent_2,1,,,,,=AVERAGE(D1446:G1446),
mus_low,agent_2,2,,,,,=AVERAGE(D1492:G1492),
mus_low,agent_3,0,,,,,=AVERAGE(D1538:G1538),
mus_low,agent_3,1,,,,,=AVERAGE(D1584:G1584),
mus_low,agent_3,2,,,,,=AVERAGE(D1630:G1630),
mus_low,agent_4,0,,,,,=AVERAGE(D1676:G1676),
mus_low,agent_4,1,,,,,=AVERAGE(D1722:G1722),
mus_low,agent_4,2,,,,,=AVERAGE(D1768:G1768),
mus_medium_low,agent_1,0,,,,,=AVERAGE(D1814:G1814),
mus_medium_low,agent_1,1,,,,,=AVERAGE(D1867:G1867),
mus_medium_low,agent_1,2,,,,,=AVERAGE(D1920:G1920),
mus_medium_low,agent_2,0,,,,,=AVERAGE(D1973:G1973),
mus_medium_low,agent_2,1,,,,,=AVERAGE(D2026:G2026),
mus_medium_low,agent_2,2,,,,,=AVERAGE(D2079:G2079),
mus_medium_low,agent_3,0,,,,,=AVERAGE(D2132:G2132),
mus_medium_low,agent_3,1,,,,,=AVERAGE(D2185:G2185),
mus_medium_low,agent_3,2,,,,,=AVERAGE(D2238:G2238),
mus_medium_low,agent_4,0,,,,,=AVERAGE(D2291:G2291),
mus_medium_low,agent_4,1,,,,,=AVERAGE(D2344:G2344),
mus_medium_low,agent_4,2,,,,,=AVERAGE(D2397:G2397),
mus_medium,agent_1,0,,,,,=AVERAGE(D2450:G2450),
mus_medium,agent_1,1,,,,,=AVERAGE(D2499:G2499),
mus_medium,agent_1,2,,,,,=AVERAGE(D2548:G2548),
mus_medium,agent_2,0,,,,,=AVERAGE(D2597:G2597),
mus_medium,agent_2,1,,,,,=AVERAGE(D2646:G2646),
mus_medium,agent_2,2,,,,,=AVERAGE(D2695:G2695),
mus_medium,agent_3,0,,,,,=AVERAGE(D2744:G2744),
mus_medium,agent_3,1,,,,,=AVERAGE(D2793:G2793),
mus_medium,agent_3,2,,,,,=AVERAGE(D2842:G2842),
mus_medium,agent_4,0,,,,,=AVERAGE(D2891:G2891),
mus_medium,agent_4,1,,,,,=AVERAGE(D2940:G2940),
mus_medium,agent_4,2,,,,,=AVERAGE(D2989:G2989),
mus_medium_high,agent_1,0,,,,,=AVERAGE(D3038:G3038),
